"Name","State","IncludeUsers","IncludeGroups","IncludeRoles","ExcludeUsers","ExcludeGroups","ExcludeRoles","IncludeApps","ExcludeApps","IncludeUserActions","ClientAppTypes","IncludePlatforms","ExcludePlatforms","IncludeLocations","ExcludeLocations","IncludeDeviceStates","ExcludeDeviceStates","GrantControls","GrantControlsOperator","ApplicationEnforcedRestrictions","CloudAppSecurity","PersistentBrowser","SignInFrequency"
"TEST -  Base protection - Register security information: Require trusted device or location For internal users","disabled","","","","","g","","","","urn:user:registersecurityinfo","","","","","","","","compliantDevice
domainJoinedDevice","OR",,,," "
"TEST -  Attack surface reduction - All apps: Block access When using active sync","disabled","","","","","g","","","","","easSupported
easUnsupported","","","","","","","block","OR",,,," "
"TEST -  Attack surface reduction - All apps: Block access When using unknown or unsupported device platforms","disabled","","","","","g","","","","","","all","android
iOS
windows
macOS","","","","","block","OR",,,," "
"TEST -  Application protection - Specific apps: Require MFA","disabled","","","","","g","","","","","","","","","","","","mfa","OR",,,," "
"TEST -  Application protection - Specific apps: Require trusted device","disabled","","","","","g","","","","","","","","","","","","compliantDevice
domainJoinedDevice","OR",,,," "
"TEST -  Application protection - Specific apps: Block access When on untrusted network","disabled","","","","","g","","","","","","","","","","","","block","OR",,,," "
"TEST -  Data protection - All apps: No persistent browser session When on untrusted device","disabled","","","","","g","","","","","","","","","","All","Compliant
DomainJoined","",,,,"True"," "
"TEST -  Data protection - All apps: Short Sign-in frequency When on untrusted device","disabled","","","","","g","","","","","","","","","","All","Compliant
DomainJoined","",,,,,"1 hours"
"TEST -  Data protection - O365: Require app protection policy When using modern authentication clients on iOS or Android","disabled","","","","","g","","","","","modern","android
iOS","","","","","","compliantApplication","OR",,,," "
"TEST -  Data protection - O365: Require approved client app When using modern authentication clients on iOS or Android","disabled","","","","","g","","","","","modern","android
iOS","","","","","","approvedApplication","OR",,,," "
"TEST -  Data protection - O365: Require trusted device When using modern authentication clients on Windows and macOS","disabled","","","","","g","","","","","modern","windows
macOS","","","","","","compliantDevice
domainJoinedDevice","OR",,,," "
"TEST -  Data protection - O365: Use app enforced restrictions When using a browser on untrusted devices","disabled","","","","","g","","","","","browser","","","","","All","Compliant
DomainJoined","",,"True",,," "
"TEST -  Data protection - O365: Use app enforced restrictions When using a browser on untrusted devices","disabled","","","","","g","","","","","browser","","","","","All","Compliant
DomainJoined","",,"True",,," "
